Date,SPY,AAPL,AMZN,META
1/3/2022,472.24231,180.959732,170.404495,338.540009
1/4/2022,472.084137,178.663071,167.522003,336.529999
1/5/2022,463.019104,173.91066,164.356995,324.170013
1/6/2022,462.584137,171.007507,163.253998,332.459991
1/7/2022,460.75528,171.176544,162.554001,331.790009
1/10/2022,460.181976,171.196411,161.485992,328.070007
1/11/2022,464.373444,174.069748,165.362,334.369995
1/12/2022,465.628876,174.51712,165.207001,333.26001
1/13/2022,459.213165,171.196411,161.214005,326.480011
1/14/2022,459.401001,172.07135,162.138,331.899994
1/18/2022,451.265167,168.820221,158.917496,318.149994
1/19/2022,446.579437,165.270813,156.298996,319.589996
1/20/2022,441.636658,163.56073,151.667496,316.559998
1/21/2022,432.967072,161.472839,142.643005,303.170013
1/24/2022,434.805756,160.687408,144.544006,308.709991
1/25/2022,429.497223,158.858032,139.985992,300.149994
1/26/2022,428.419708,158.768524,138.872498,294.630005
1/27/2022,426.304169,158.301239,139.637497,294.640015
1/28/2022,436.891632,169.347153,143.977997,301.709991
1/31/2022,444.760468,173.771454,149.573502,313.26001
2/1/2022,447.765717,173.602463,151.193497,319
2/2/2022,452.115356,174.825348,150.612503,323
2/3/2022,441.488403,171.902313,138.845505,237.759995
2/4/2022,443.564362,171.613632,157.639496,237.089996
2/7/2022,442.140839,170.886917,157.935501,224.910004
2/8/2022,445.778717,174.042648,161.413498,220.179993
2/9/2022,452.303192,175.486099,161.189499,232
2/10/2022,444.177277,171.344833,159.003494,228.070007
2/11/2022,435.41864,167.880524,153.293503,219.550003
2/14/2022,433.995117,168.119446,155.167007,217.699997
2/15/2022,440.99411,172.011826,156.510498,221
2/16/2022,441.488403,171.772919,158.100494,216.539993
2/17/2022,432.057587,168.119446,154.652496,207.710007
2/18/2022,429.259949,166.546555,152.601501,206.160004
2/22/2022,424.65329,163.579971,150.197495,202.080002
2/23/2022,417.120544,159.349121,144.826996,198.449997
2/24/2022,423.397827,162.007095,151.358002,207.600006
2/25/2022,432.739685,164.10759,153.788498,210.479996
2/28/2022,431.632507,164.376373,153.563004,211.029999
3/1/2022,425.058624,162.465012,151.141998,203.490005
3/2/2022,432.878113,165.809891,152.052505,208.110001
3/3/2022,430.722992,165.481369,147.898499,202.970001
3/4/2022,427.223572,162.43515,145.641006,200.059998
3/7/2022,414.629364,158.582596,137.453003,187.470001
3/8/2022,411.485779,156.730957,136.014496,190.289993
3/9/2022,422.518066,162.216141,139.279007,198.5
3/10/2022,420.610107,157.806107,146.817505,195.210007
3/11/2022,415.262054,154.033157,145.524506,187.610001
3/14/2022,412.227173,149.941666,141.852997,186.630005
3/15/2022,421.292236,154.391525,147.366501,192.029999
3/16/2022,430.634033,158.871262,153.104004,203.630005
3/17/2022,436.021667,159.896637,157.238998,207.839996
3/18/2022,440.797333,163.241486,161.250504,216.490005
3/21/2022,440.668427,164.635208,161.491501,211.490005
3/22/2022,445.82486,168.059708,164.889008,216.649994
3/23/2022,440.083374,169.443451,163.408005,213.460007
3/24/2022,446.717346,173.286072,163.649506,219.570007
3/25/2022,448.898926,173.933136,164.773499,221.820007
3/28/2022,452.091949,174.809189,168.990494,223.589996
3/29/2022,457.684723,178.154037,169.315002,229.860001
3/30/2022,454.858612,176.969406,166.300995,227.850006
3/31/2022,447.857758,173.823639,162.997498,222.360001
4/1/2022,449.127014,173.524979,163.559998,224.850006
4/4/2022,452.974487,177.636383,168.346497,233.889999
4/5/2022,447.252808,174.271606,164.054993,231.839996
4/6/2022,442.780579,171.056168,158.755997,223.300003
4/7/2022,445.011719,171.364746,157.7845,222.949997
4/8/2022,443.821808,169.32399,154.460495,222.330002
4/11/2022,436.235901,165.00354,151.121994,216.460007
4/12/2022,434.619507,166.904938,150.787506,214.139999
4/13/2022,439.597473,169.632584,155.541,214.990005
4/14/2022,434.123718,164.545593,151.706497,210.179993
4/18/2022,434.302185,164.326599,152.785004,210.770004
4/19/2022,441.312988,166.646088,158.115494,217.309998
4/20/2022,440.985748,166.476852,153.998001,200.419998
4/21/2022,434.391449,165.670502,148.296005,188.070007
4/22/2022,422.472107,161.061356,144.350006,184.110001
4/25/2022,424.921417,162.146454,146.074005,186.990005
4/26/2022,412.615356,156.093842,139.391006,180.949997
4/27/2022,413.775543,155.864883,138.167007,174.949997
4/28/2022,424.227264,162.90303,144.596497,205.729996
4/29/2022,408.549683,156.940002,124.281502,200.470001
5/2/2022,411.008911,157.248611,124.5,211.130005
5/3/2022,412.893005,158.761765,124.253502,212.029999
5/4/2022,425.466797,165.272324,125.928497,223.410004
5/5/2022,410.344513,156.06398,116.406998,208.279999
5/6/2022,407.895203,156.801712,114.772499,203.770004
5/9/2022,394.83551,151.597595,108.789001,196.210007
5/10/2022,395.747803,154.040131,108.859001,197.649994
5/11/2022,389.460876,146.054504,105.372002,188.740005
5/12/2022,389.054321,142.12648,106.930496,191.240005
5/13/2022,398.355774,146.662659,113.055,198.619995
5/16/2022,396.73941,145.097427,110.810501,200.039993
5/17/2022,404.900513,148.786179,115.3685,202.619995
5/18/2022,388.578308,140.391785,107.112503,192.240005
5/19/2022,386.198425,136.932327,107.319,191.289993
5/20/2022,386.367004,137.171585,107.591003,193.539993
5/23/2022,393.595978,142.674805,107.556999,196.229996
5/24/2022,390.591339,139.933167,104.099998,181.279999
5/25/2022,394.042206,140.092697,106.775002,183.830002
5/26/2022,401.91571,143.342758,111.077499,191.630005
5/27/2022,411.782379,149.184952,115.1465,195.130005
5/31/2022,409.471893,148.38739,120.209503,193.639999
6/1/2022,406.159882,148.257782,121.683998,188.639999
6/2/2022,413.894562,150.750183,125.511002,198.860001
6/3/2022,407.101898,144.937912,122.349998,190.779999
6/6/2022,408.341461,145.695602,124.790001,194.25
6/7/2022,412.258362,148.257782,123,195.649994
6/8/2022,407.776215,147.510071,121.18,196.639999
6/9/2022,398.078125,142.206238,116.150002,184
6/10/2022,386.535583,136.712997,109.650002,175.570007
6/13/2022,371.859528,131.478958,103.669998,164.259995
6/14/2022,370.739014,132.356277,102.309998,163.729996
6/15/2022,376.024353,135.018158,107.669998,169.350006
6/16/2022,363.579468,129.66449,103.660004,160.869995
6/17/2022,364.363251,131.159927,106.220001,163.740005
6/21/2022,373.535583,135.456833,108.68,157.050003
6/22/2022,372.858368,134.938416,108.949997,155.850006
6/23/2022,376.513336,137.849533,112.440002,158.75
6/24/2022,388.484161,141.229218,116.459999,170.160004
6/27/2022,387.000275,141.229218,113.220001,169.490005
6/28/2022,379.092743,137.022064,107.400002,160.679993
6/29/2022,378.784027,138.80661,108.919998,163.940002
6/30/2022,375.706665,136.304245,106.209999,161.25
7/1/2022,379.680328,138.507507,109.559998,160.029999
7/5/2022,380.397369,141.129517,113.5,168.190002
7/6/2022,381.682129,142.485397,114.330002,169.770004
7/7/2022,387.398621,145.904968,116.330002,172.190002
7/8/2022,387.079956,146.59285,115.540001,170.880005
7/11/2022,382.658112,144.429443,111.75,162.880005
7/12/2022,379.272003,145.416443,109.220001,163.270004
7/13/2022,377.280182,145.047577,110.400002,163.490005
7/14/2022,376.363953,148.018509,110.629997,158.050003
7/15/2022,383.554443,149.713348,113.550003,164.699997
7/18/2022,380.387451,146.622772,113.760002,167.229996
7/19/2022,390.665192,150.540817,118.209999,175.779999
7/20/2022,393.154968,152.574615,122.769997,183.089996
7/21/2022,397.158539,154.877594,124.629997,183.169998
7/22/2022,393.473663,153.621414,122.419998,169.270004
7/25/2022,393.951721,152.484894,121.139999,166.649994
7/26/2022,389.290863,151.139008,114.809998,159.149994
7/27/2022,399.399353,156.313202,120.970001,169.580002
7/28/2022,404.408752,156.871521,122.279999,160.720001
7/29/2022,410.304535,162.015808,134.949997,159.100006
8/1/2022,409.089508,161.01886,135.389999,159.929993
8/2/2022,406.390625,159.523407,134.160004,160.190002
8/3/2022,412.754486,165.624817,139.520004,168.800003
8/4/2022,412.475647,165.305786,142.570007,170.570007
8/5/2022,411.778473,165.076172,140.800003,167.110001
8/8/2022,411.300446,164.596954,139.410004,170.25
8/9/2022,409.667175,164.646866,137.830002,168.529999
8/10/2022,418.27179,168.959732,142.690002,178.339996
8/11/2022,418.27179,168.210968,140.639999,177.490005
8/12/2022,425.352722,171.814987,143.550003,180.5
8/15/2022,427.105499,172.903183,143.179993,180.889999
8/16/2022,427.942108,172.743439,144.779999,179.470001
8/17/2022,424.904572,174.260925,142.100006,174.850006
8/18/2022,426.139496,173.861588,142.300003,174.660004
8/19/2022,420.413025,171.235947,138.229996,167.960007
8/22/2022,411.658966,167.292496,133.220001,163.050003
8/23/2022,410.663086,166.953049,133.619995,161.110001
8/24/2022,411.977692,167.252548,133.800003,163.259995
8/25/2022,417.793793,169.748413,137.279999,168.779999
8/26/2022,403.651855,163.349014,130.75,161.779999
8/29/2022,400.982849,161.112747,129.789993,159.169998
8/30/2022,396.580902,158.646835,128.729996,157.160004
8/31/2022,393.563293,156.959625,126.769997,162.929993
9/1/2022,394.798248,157.69841,127.82,165.360001
9/2/2022,390.635315,155.551956,127.510002,160.320007
9/6/2022,389.161407,154.274078,126.110001,158.539993
9/7/2022,396.152679,155.701721,129.479996,160.389999
9/8/2022,398.742035,154.204208,129.820007,162.059998
9/9/2022,404.936584,157.109375,133.270004,169.149994
9/12/2022,409.288727,163.159332,136.449997,168.960007
9/13/2022,391.491821,153.58522,126.82,153.130005
9/14/2022,392.985687,155.05278,128.550003,151.470001
9/15/2022,388.524017,152.117645,126.279999,149.550003
9/16/2022,385.559998,150.450424,123.529999,146.289993
9/19/2022,388.549988,154.224152,124.660004,148.020004
9/20/2022,384.089996,156.640152,122.190002,146.089996
9/21/2022,377.390015,153.465424,118.540001,142.119995
9/22/2022,374.220001,152.487045,117.309998,142.820007
9/23/2022,367.950012,150.180862,113.779999,140.410004
9/26/2022,364.309998,150.520309,115.150002,136.369995
9/27/2022,363.380005,151.508667,114.410004,134.399994
9/28/2022,370.529999,149.591843,118.010002,141.610001
9/29/2022,362.790009,142.244034,114.800003,136.410004
9/30/2022,357.179993,137.971115,113,135.679993
10/3/2022,366.609985,142.214081,115.879997,138.610001
10/4/2022,377.970001,145.858047,121.089996,140.279999
10/5/2022,377.089996,146.157532,120.949997,138.979996
10/6/2022,373.200012,145.189148,120.300003,139.070007
10/7/2022,362.790009,139.857986,114.559998,133.449997
10/10/2022,360.019989,140.187439,113.669998,133.789993
10/11/2022,357.73999,138.749832,112.209999,128.539993
10/12/2022,356.559998,138.110886,112.900002,127.5
10/13/2022,365.970001,142.753204,112.529999,130.289993
10/14/2022,357.630005,138.150833,106.900002,126.760002
10/17/2022,366.820007,142.174164,113.790001,134.039993
10/18/2022,371.130005,143.511932,116.360001,132.800003
10/19/2022,368.5,143.62175,115.07,133.229996
10/20/2022,365.410004,143.152527,115.25,131.529999
10/21/2022,374.290009,147.026108,119.32,130.009995
10/24/2022,378.869995,149.202484,119.82,129.720001
10/25/2022,384.920013,152.087708,120.599998,137.509995
10/26/2022,382.019989,149.102661,115.660004,129.820007
10/27/2022,379.980011,144.560196,110.959999,97.940002
10/28/2022,389.019989,155.482086,103.410004,99.199997
10/31/2022,386.209991,153.086044,102.440002,93.160004
11/1/2022,384.519989,150.400497,96.790001,95.199997
11/2/2022,374.869995,144.78981,92.120003,90.540001
11/3/2022,371.01001,138.650009,89.300003,88.910004
11/4/2022,376.350006,138.380005,90.980003,90.790001
